name;lat;lon;pop;textsize
Painesville;41.72449;-81.24566;19563;3
Parma;41.40477;-81.72291;81601;16
Parma Heights;41.39005;-81.75958;20718;4
Perrysburg;41.557;-83.62716;20623;4
Piqua;40.14477;-84.24244;20522;4
Powell;40.15784;-83.07519;11500;2
Ravenna;41.15756;-81.24205;11724;2
Richmond Heights;41.55283;-81.51012;10546;2
Rocky River;41.4756;-81.8393;20213;4
Salem;40.90089;-80.85675;12303;2
Sandusky;41.44894;-82.70796;25793;5
Seven Hills;41.39533;-81.67624;11804;2
Shaker Heights;41.47394;-81.53707;28448;5
Sidney;40.28422;-84.1555;21229;4
Solon;41.38978;-81.44123;23348;4
South Euclid;41.52311;-81.51846;22295;4
Steubenville;40.36979;-80.63396;18659;3
Stow;41.1595;-81.44039;34837;6
Streetsboro;41.23922;-81.34594;16028;3
Strongsville;41.3145;-81.83569;44750;8
Struthers;41.05256;-80.60785;10713;2
Sylvania;41.71894;-83.71299;18965;3
Tallmadge;41.10145;-81.44178;17537;3
Tiffin;41.1145;-83.17797;17963;3
Toledo;41.66394;-83.55521;287208;57
Troy;40.0395;-84.20328;25058;5
Twinsburg;41.31256;-81.44011;18795;3
University Heights;41.49783;-81.53735;13539;2
Urbana;40.10839;-83.75243;11793;2
Vermilion;41.42199;-82.36461;10594;2
Van Wert;40.86949;-84.58412;10846;2
Vermilion-on-the-Lake;41.42838;-82.32377;11006;2
Wadsworth;41.02561;-81.72985;21567;4
Warrensville Heights;41.43505;-81.53623;13542;2
Warren;41.23756;-80.81842;41557;8
Westerville;40.12617;-82.92907;36120;7
Westlake;41.45532;-81.91792;32729;6
Wickliffe;41.60533;-81.45345;12750;2
Willoughby;41.63977;-81.4065;22268;4
Willowick;41.6331;-81.46873;14171;2
Wooster;40.80506;-81.93514;26119;5
Worthington;40.09312;-83.01796;13575;2
Youngstown;41.09978;-80.64952;66982;13
Allentown;40.60843;-75.49018;118032;23
Allison Park;40.55951;-79.95867;21552;4
Altoona;40.51868;-78.39474;46320;9
Ardmore;40.00678;-75.28546;12455;2
Back Mountain;41.33591;-75.99631;26973;5
Baldwin;40.33813;-79.97894;19767;3
Berwick;41.05453;-76.23327;10477;2
Bethel Park;40.32757;-80.0395;32313;6
Bethlehem;40.62593;-75.37046;74982;14
Bloomsburg;41.0037;-76.45495;14855;2
Butler;40.86118;-79.89533;13757;2
Carlisle;40.20148;-77.18887;18682;3
Colonial Park;40.30064;-76.80969;13229;2
Columbia;40.03371;-76.50441;10400;2
Dunmore;41.4198;-75.63241;14057;2
East Norriton;40.15177;-75.33657;13108;2
Easton;40.68843;-75.22073;26800;5
Elizabethtown;40.15287;-76.60275;11545;2
Emmaus;40.53954;-75.49685;11211;2
Ephrata;40.17982;-76.17884;13394;2
Erie;42.12922;-80.08506;101786;20
Fernway;40.69479;-80.13089;12414;2
Franklin Park;40.5834;-80.08784;13470;2
Fullerton;40.63176;-75.47324;14925;2
Greensburg;40.30146;-79.53893;14892;2
Harrisburg;40.2737;-76.88442;49528;9
Hazleton;40.95842;-75.97465;25340;5
Hermitage;41.23339;-80.44868;16220;3
Hershey;40.28592;-76.65025;14257;2
Horsham;40.17844;-75.12851;14842;2
Indiana;40.62146;-79.15253;13975;2
Jefferson Hills;40.29118;-79.93199;10619;2
Johnstown;40.32674;-78.92197;20978;4
King of Prussia;40.08927;-75.39602;19936;3
Kingston;41.26175;-75.89686;13182;2
Lancaster;40.03788;-76.30551;59322;11
Lansdale;40.2415;-75.28379;16269;3
Lebanon;40.34093;-76.41135;25477;5
Levittown;40.15511;-74.82877;52983;10
Limerick;40.23093;-75.52212;18074;3
Lower Burrell;40.55312;-79.75727;11761;2
McKeesport;40.34785;-79.86422;19731;3
Meadville;41.64144;-80.15145;13388;2
Monroeville;40.42118;-79.7881;28386;5
Montgomeryville;40.24733;-75.24379;12624;2
Mount Lebanon;40.35535;-80.0495;32730;6
Mountain Top;40.10677;-75.95272;15431;3
Mountain Top;41.16953;-75.87742;10982;2
Munhall;40.39229;-79.90005;11406;2
Murrysville;40.4284;-79.69754;20079;4
Nanticoke;41.20536;-76.00492;10465;2
New Castle;41.00367;-80.34701;23273;4
New Kensington;40.56979;-79.76477;13116;2
Norristown;40.1215;-75.3399;34324;6
North Versailles;40.37979;-79.80949;10571;2
Oil City;41.43395;-79.70644;10557;2
Penn Hills;40.50118;-79.83922;44610;8
